DESIGNATOR,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",49.500000,-28.950000,90.000000,top
"C2","10uF","CP_EIA-3216-10_Kemet-I",36.000000,-28.000000,180.000000,top
"C3","10uF","CP_EIA-3216-10_Kemet-I",55.000000,-28.500000,90.000000,top
"C4","100nF","C_0805_2012Metric",54.000000,-21.000000,0.000000,top
"C5","100uF","CP_EIA-7343-15_Kemet-W",27.380000,-18.000000,0.000000,top
"C6","10uF","CP_EIA-3216-10_Kemet-I",44.000000,-5.000000,90.000000,top
"C7","47uF","CP_EIA-3528-12_Kemet-T",65.000000,-9.500000,-90.000000,top
"C8","100nF","C_0805_2012Metric",28.500000,-28.500000,-90.000000,top
"C9","100nF","C_0805_2012Metric",54.500000,-15.950000,-90.000000,top
"C10","10pF","C_0402_1005Metric",59.500000,-9.500000,0.000000,top
"C11","100nF","C_0805_2012Metric",60.000000,-15.950000,-90.000000,top
"C12","100nF","C_0805_2012Metric",23.000000,-28.500000,-90.000000,top
"C13","10uF","CP_EIA-3216-10_Kemet-I",16.000000,-4.000000,0.000000,top
"C14","100nF","C_0805_2012Metric",18.000000,-23.000000,-90.000000,top
"D1","D","D_0805_2012Metric",65.000000,-4.000000,90.000000,top
"D2","D","D_0805_2012Metric",23.000000,-23.062500,90.000000,top
"D3","GREEN","LED_0805_2012Metric",4.500000,-10.500000,-90.000000,top
"D4","RED","LED_0805_2012Metric",8.500000,-10.562500,-90.000000,top
"L1","10µH","L_0805_2012Metric",31.000000,-11.000000,0.000000,top
"L2","10µH","L_0805_2012Metric",49.500000,-25.000000,180.000000,top
"L3","10µH","L_0805_2012Metric",24.000000,-10.500000,-90.000000,top
"Q1","IRLML6402","SOT-23",27.500000,-5.000000,90.000000,top
"Q2","BC857","SOT-23",59.500000,-4.000000,90.000000,top
"Q6","BC847","SOT-23",43.500000,-21.437500,90.000000,top
"Q7","BC857","SOT-23",42.437500,-13.500000,180.000000,top
"R1","20k","R_0805_2012Metric",43.500000,-29.000000,-90.000000,top
"R2","10R","R_0805_2012Metric",59.500000,-21.500000,0.000000,top
"R3","1M","R_0805_2012Metric",60.000000,-28.000000,90.000000,top
"R4","47k","R_0805_2012Metric",49.000000,-13.500000,-90.000000,top
"R5","47k","R_0805_2012Metric",49.500000,-19.500000,0.000000,top
"R6","47k","R_0805_2012Metric",49.500000,-5.087500,-90.000000,top
"R7","1M43","R_0805_2012Metric",55.000000,-6.087500,-90.000000,top
"R8","200k","R_0805_2012Metric",55.000000,-10.000000,-90.000000,top
"R9","200k","R_0805_2012Metric",18.000000,-28.500000,-90.000000,top
"R10","470R","R_0805_2012Metric",8.500000,-15.500000,-90.000000,top
"R11","270R","R_0805_2012Metric",4.500000,-15.500000,-90.000000,top
"Rref1","1.58K","R_0805_2012Metric",11.000000,-27.500000,180.000000,top
"U1","TP4056","SOIC-8_3.9x4.9mm_P1.27mm",15.595000,-14.975000,180.000000,top
"U2","TPS61041","SOT-23-5",36.500000,-21.000000,0.000000,top
